Energy  Counts
5.043282e+01 0
5.067462e+01 0
5.091642e+01 0
5.115822e+01 0
5.140003e+01 0
5.164183e+01 0
5.188364e+01 0
5.212545e+01 0
5.236726e+01 0
5.260907e+01 0
5.285088e+01 0
5.309270e+01 0
5.333451e+01 0
5.357633e+01 0
5.381815e+01 0
5.405997e+01 0
5.430179e+01 0
5.454361e+01 0
5.478544e+01 0
5.502726e+01 0
5.526909e+01 0
5.551092e+01 0
5.575275e+01 0
5.599458e+01 0
5.623642e+01 0
5.647825e+01 0
5.672009e+01 0
5.696192e+01 0
5.720376e+01 0
5.744560e+01 0
5.768744e+01 0
5.792929e+01 0
5.817113e+01 0
5.841298e+01 0
5.865482e+01 0
5.889667e+01 0
5.913852e+01 0
5.938038e+01 0
5.962223e+01 0
5.986408e+01 0
6.010594e+01 0
6.034780e+01 0
6.058966e+01 0
6.083152e+01 0
6.107338e+01 0
6.131524e+01 0
6.155711e+01 0
6.179897e+01 0
6.204084e+01 0
6.228271e+01 0
6.252458e+01 0
6.276645e+01 0
6.300832e+01 0
6.325020e+01 0
6.349207e+01 0
6.373395e+01 0
6.397583e+01 0
6.421771e+01 0
6.445959e+01 0
6.470148e+01 0
6.494336e+01 0
6.518525e+01 0
6.542714e+01 0
6.566902e+01 0
6.591092e+01 0
6.615281e+01 0
6.639470e+01 0
6.663660e+01 0
6.687849e+01 0
6.712039e+01 0
6.736229e+01 0
6.760419e+01 0
6.784609e+01 0
6.808799e+01 0
6.832990e+01 0
6.857181e+01 0
6.881371e+01 0
6.905562e+01 0
6.929753e+01 0
6.953945e+01 0
6.978136e+01 0
7.002327e+01 0
7.026519e+01 0
7.050711e+01 0
7.074903e+01 0
7.099095e+01 0
7.123287e+01 0
7.147479e+01 0
7.171672e+01 0
7.195865e+01 0
7.220057e+01 0
7.244250e+01 0
7.268443e+01 0
7.292637e+01 0
7.316830e+01 0
7.341023e+01 0
7.365217e+01 0
7.389411e+01 0
7.413605e+01 0
7.437799e+01 0
7.461993e+01 0
7.486187e+01 0
7.510382e+01 0
7.534577e+01 0
7.558771e+01 0
7.582966e+01 0
7.607161e+01 0
7.631357e+01 0
7.655552e+01 0
7.679748e+01 0
7.703943e+01 0
7.728139e+01 0
7.752335e+01 0
7.776531e+01 0
7.800727e+01 0
7.824924e+01 0
7.849120e+01 0
7.873317e+01 0
7.897514e+01 0
7.921711e+01 0
7.945908e+01 0
7.970105e+01 0
7.994302e+01 0
8.018500e+01 0
8.042698e+01 0
8.066895e+01 0
8.091093e+01 0
8.115292e+01 0
8.139490e+01 0
8.163688e+01 0
8.187887e+01 0
8.212085e+01 0
8.236284e+01 0
8.260483e+01 0
8.284682e+01 0
8.308882e+01 0
8.333081e+01 0
8.357281e+01 0
8.381480e+01 0
8.405680e+01 0
8.429880e+01 0
8.454080e+01 0
8.478280e+01 0
8.502481e+01 0
8.526681e+01 0
8.550882e+01 0
8.575083e+01 0
8.599284e+01 0
8.623485e+01 0
8.647686e+01 0
8.671888e+01 0
8.696089e+01 0
8.720291e+01 0
8.744493e+01 0
8.768695e+01 0
8.792897e+01 0
8.817099e+01 0
8.841302e+01 0
8.865504e+01 0
8.889707e+01 0
8.913910e+01 0
8.938113e+01 0
8.962316e+01 0
8.986519e+01 0
9.010723e+01 0
9.034926e+01 0
9.059130e+01 0
9.083334e+01 0
9.107538e+01 0
9.131742e+01 0
9.155946e+01 0
9.180151e+01 0
9.204355e+01 0
9.228560e+01 0
9.252765e+01 0
9.276970e+01 0
9.301175e+01 0
9.325380e+01 0
9.349586e+01 0
9.373791e+01 0
9.397997e+01 0
9.422203e+01 0
9.446409e+01 0
9.470615e+01 0
9.494821e+01 0
9.519028e+01 0
9.543234e+01 0
9.567441e+01 0
9.591648e+01 0
9.615855e+01 0
9.640062e+01 0
9.664269e+01 0
9.688477e+01 0
9.712684e+01 0
9.736892e+01 0
9.761100e+01 0
9.785308e+01 0
9.809516e+01 0
9.833724e+01 0
9.857933e+01 0
9.882142e+01 0
9.906350e+01 0
9.930559e+01 0
9.954768e+01 0
9.978977e+01 0
1.000319e+02 0
1.002740e+02 0
1.005161e+02 0
1.007582e+02 0
1.010003e+02 0
1.012424e+02 0
1.014845e+02 0
1.017266e+02 0
1.019687e+02 0
1.022108e+02 0
1.024529e+02 0
1.026950e+02 0
1.029371e+02 0
1.031792e+02 0
1.034213e+02 0
1.036634e+02 0
1.039056e+02 0
1.041477e+02 0
1.043898e+02 0
1.046319e+02 0
1.048740e+02 0
1.051162e+02 0
1.053583e+02 0
1.056004e+02 0
1.058425e+02 0
1.060847e+02 0
1.063268e+02 0
1.065689e+02 0
1.068111e+02 0
1.070532e+02 0
1.072953e+02 0
1.075375e+02 0
1.077796e+02 0
1.080217e+02 0
1.082639e+02 0
1.085060e+02 0
1.087482e+02 0
1.089903e+02 0
1.092325e+02 0
1.094746e+02 0
1.097168e+02 0
1.099589e+02 0
1.102011e+02 0
1.104432e+02 0
1.106854e+02 0
1.109275e+02 0
1.111697e+02 0
1.114119e+02 0
1.116540e+02 0
1.118962e+02 0
1.121384e+02 0
1.123805e+02 0
1.126227e+02 0
1.128649e+02 0
1.131070e+02 0
1.133492e+02 0
1.135914e+02 0
1.138336e+02 0
1.140757e+02 0
1.143179e+02 0
1.145601e+02 0
1.148023e+02 0
1.150445e+02 0
1.152866e+02 0
1.155288e+02 0
1.157710e+02 0
1.160132e+02 0
1.162554e+02 0
1.164976e+02 0
1.167398e+02 0
1.169820e+02 0
1.172242e+02 0
1.174664e+02 0
1.177086e+02 0
1.179507e+02 0
1.181930e+02 0
1.184352e+02 0
1.186774e+02 0
1.189196e+02 0
1.191618e+02 0
1.194040e+02 0
1.196462e+02 0
1.198884e+02 0
1.201306e+02 0
1.203728e+02 0
1.206150e+02 0
1.208573e+02 0
1.210995e+02 0
1.213417e+02 0
1.215839e+02 0
1.218261e+02 0
1.220684e+02 0
1.223106e+02 0
1.225528e+02 0
1.227950e+02 0
1.230373e+02 0
1.232795e+02 0
1.235217e+02 0
1.237640e+02 0
1.240062e+02 0
1.242484e+02 0
1.244907e+02 0
1.247329e+02 0
1.249752e+02 0
1.252174e+02 0
1.254596e+02 0
1.257019e+02 0
1.259441e+02 0
1.261864e+02 0
1.264286e+02 0
1.266709e+02 0
1.269131e+02 0
1.271554e+02 0
