# Picco 1, Picco2, Segnale combinato
nan,nan,nan
7.125099875039567223e+02,7.873369396975249401e-03,7.125099875039567223e+02
1.144685291611609955e+03,2.087394700017379137e+02,1.144685291611609955e+03
2.787337181020347998e+01,nan,2.787337181020347998e+01
nan,nan,nan
nan,1.175753127071195877e+03,nan
nan,nan,nan
1.388848704287784130e+02,1.174266546345900906e+03,1.388848704287784130e+02
5.959894317106136441e+01,1.255142825409939178e+01,5.959894317106136441e+01
1.117835124434469662e+03,1.188061150399519192e+03,1.117835124434469662e+03
1.077642631254170510e+03,1.257669664677468290e+03,1.077642631254170510e+03
1.656513684470904764e+02,nan,1.656513684470904764e+02
nan,1.205595509097939612e+03,nan
1.080645866037149744e+03,nan,1.080645866037149744e+03
6.019987801170259445e+02,6.029467353087393349e+02,6.019987801170259445e+02
nan,1.251784982015128662e+03,nan
1.125040098794982441e+03,nan,1.125040098794982441e+03
3.892364209487637936e+02,1.012229850363152650e+03,3.892364209487637936e+02
6.136095551885392752e+02,nan,6.136095551885392752e+02
nan,1.256239347979074410e+03,nan
6.866068836512547477e+02,6.090838448755414447e+02,6.866068836512547477e+02
1.093656816103425854e+03,2.759083287790246004e+02,1.093656816103425854e+03
5.028982641391106654e+02,nan,5.028982641391106654e+02
nan,8.508986051380493336e+02,nan
1.230434671449283996e+02,6.689852027895102538e+02,1.230434671449283996e+02
3.534155979395222857e+01,9.003742233573568683e+02,3.534155979395222857e+01
1.076558486091808163e+03,nan,1.076558486091808163e+03
1.135124457355550248e+03,1.189851938629668894e+03,1.135124457355550248e+03
5.763923794539317669e+02,2.414585977877231926e+01,5.763923794539317669e+02
1.107070646880792538e+03,nan,1.107070646880792538e+03
6.713382354571253927e+02,9.627402391299004876e+02,6.713382354571253927e+02
7.573511893564467528e+02,1.261179841674515046e+03,7.573511893564467528e+02
1.132723383143973933e+03,nan,1.132723383143973933e+03
1.130750499900211935e+03,1.131456234129169616e+03,1.130750499900211935e+03
nan,6.700836326784561834e+02,nan
1.157125873963866979e+03,nan,1.157125873963866979e+03
nan,nan,nan
3.281051857107026990e+02,nan,3.281051857107026990e+02
nan,1.117570045406410827e+03,nan
nan,1.281253488262916107e+03,nan
1.157855676962317375e+03,1.158172264192991861e+03,1.157855676962317375e+03
5.174066006190378175e+01,nan,5.174066006190378175e+01
nan,2.635064099295732376e+00,nan
1.055848357884548477e+03,6.316929517752462289e+02,1.055848357884548477e+03
1.126627039410027919e+03,1.235079564978983854e+03,1.126627039410027919e+03
1.117011742313445211e+03,1.326803540329157840e+03,1.117011742313445211e+03
8.689197941940218470e+02,nan,8.689197941940218470e+02
4.687786186550511047e-01,1.180336297639427812e+03,4.687786186550511047e-01
6.988008867045007264e+02,nan,6.988008867045007264e+02
